ChEMBL ID,Smiles,IC50 (nM),pIC50
CHEMBL5426192,CCOC(=O)c1sc(-c2cc(I)c3c(c2)CCC(C)(C)O3)nc1C,1.3,8.886056648
CHEMBL5408075,Cc1nc(-c2ccc(SC(C)C)c(C#N)c2)[se]c1C(=O)O,1.32,8.879426069
CHEMBL5395447,CCC1(C)Cc2cc(-c3nc(C)c(C(=O)O)s3)cc(C#N)c2O1,1.35,8.869666232
CHEMBL5405574,Cc1nc(-c2cc(C#N)c3c(c2)CC2(CCCCC2)O3)sc1C(=O)O,1.4,8.853871964
CHEMBL5408526,Cc1nc(-c2cc(C#N)c3c(c2)CC2(CCCC2)O3)[se]c1C(=O)O,1.58,8.801342913
CHEMBL5436044,COc1ccccc1-c1ccc(-c2nc(C)c(C(=O)O)[se]2)cc1C#N,1.67,8.777283529
CHEMBL5397261,Cc1nc(-c2ccc(-c3ccccc3)c(C#N)c2)[se]c1C(=O)O,1.7,8.769551079
CHEMBL5433943,Cc1nc(-c2cc(C#N)c3c(c2)CC(C)O3)sc1C(=O)O,1.84,8.735182177
CHEMBL5395248,Cc1nc(-c2cc(I)c3c(c2)CCC(C)(C)O3)sc1C(=O)O,1.87,8.728158393
CHEMBL5405473,Cc1nc(-c2cc(C#N)c3c(c2)CCC(C)(C)O3)[se]c1C(=O)O,2.36,8.627087997
CHEMBL5406768,Cc1nc(-c2cc(C#N)c3c(c2)CCC(C)(C)O3)sc1C(=O)O,2.65,8.576754126
CHEMBL3652781,N#Cc1cn(CC2CC2)c2ccc(-n3cc(C(=O)O)cn3)cc12,2.8,8.552841969
CHEMBL5397172,Cc1ccc2c(-c3ccc(C(=O)O)c(O)c3)cc(C#N)n2n1,3,8.522878745
CHEMBL3628191,CCC(C)Oc1ccc(-c2nc(C)c(C(=O)O)n2O)cc1C#N,3,8.522878745
CHEMBL3628190,CCCCOc1ccc(-c2nc(C)c(C(=O)O)n2O)cc1C#N,3,8.522878745
CHEMBL1079332,COc1ccc(-c2n[nH]c(-c3ccncc3)n2)cc1[N+](=O)[O-],3.3,8.48148606
CHEMBL3652780,CC(C)n1cc(C#N)c2cc(-n3cc(C(=O)O)cn3)ccc21,3.4,8.468521083
CHEMBL169526,CC(C)(C)COc1ccc(-n2cc(C(=O)O)cn2)cc1C#N,3.5,8.455931956
CHEMBL2322167,CC(C)(C)COc1ccc(-c2cc(O)nc(N)n2)cc1C#N,4,8.397940009
CHEMBL165064,COc1c(-c2ccc(O)cc2)oc2cc(O)cc(O)c2c1=O,4,8.397940009
CHEMBL4203776,N#Cc1cc(-n2cc(C(=O)O)cn2)ccc1N1CCCCC1,4.2,8.37675071
CHEMBL1079334,O=[N+]([O-])c1cc(-c2n[nH]c(-c3ccncc3)n2)ccc1Cl,4.7,8.327902142
CHEMBL1078685,N#Cc1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1,4.8,8.318758763
CHEMBL1077405,CC(C)COc1ccc(-c2n[nH]c(-c3ccncc3)n2)cc1C#N,4.9,8.30980392
CHEMBL2322147,CC(C)(COc1ccc(-c2cc(O)nc(N)n2)cc1C#N)C(=O)O,5,8.301029996
CHEMBL2322149,N#Cc1cc(-c2cc(O)nc(N)n2)ccc1OCc1ccc(C(=O)O)cc1,5,8.301029996
CHEMBL5424998,O=[N+]([O-])c1cc(C2=NC3=CN=CN(O)C3S2)ccc1Oc1ccccc1F,5.4,8.26760624
CHEMBL3331617,C=CCOc1ccc(-c2nc(C)c(C(=O)O)[se]2)cc1C#N,5.5,8.259637311
CHEMBL4217468,CC(C)CN(C)c1ccc(-n2cc(C(=O)O)cn2)cc1C#N,5.7,8.244125144
CHEMBL4208142,N#Cc1cc(-n2cc(C(=O)O)cn2)ccc1N1CCCC1,5.7,8.244125144
CHEMBL3628192,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)n(O)c1C(=O)O,6,8.22184875
CHEMBL4213055,CC1CCCN1c1ccc(-n2cc(C(=O)O)cn2)cc1C#N,6.7,8.173925197
CHEMBL1078763,c1ccc(-c2cc(-c3n[nH]c(-c4ccncc4)n3)ccn2)cc1,6.8,8.167491087
CHEMBL1164729,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,7,8.15490196
CHEMBL2322169,N#Cc1cc(-c2cc(O)nc(N)n2)ccc1OCc1ccc(F)cc1,7,8.15490196
CHEMBL170303,CC(C)COc1ccc(-n2cc(C(=O)O)cn2)cc1C#N,7.1,8.148741651
CHEMBL4760152,CC(C)(C)c1ccc(-c2ccc(-n3cnc(C(=O)O)c3)cc2C#N)cc1,7.2,8.142667504
CHEMBL4212512,CC(C)CNc1ccc(-n2cc(C(=O)O)cn2)cc1C#N,7.7,8.113509275
CHEMBL1077446,Clc1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1,7.9,8.102372909
CHEMBL4754914,N#Cc1cc(-n2cnc(C(=O)O)c2)ccc1N1CCCCCCC1,8,8.096910013
CHEMBL2322170,N#Cc1cc(-c2cc(O)nc(N)n2)ccc1OCc1ccccc1C(F)(F)F,9,8.045757491
CHEMBL3331615,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)[se]c1C(=O)O,9.1,8.040958608
CHEMBL1078761,Brc1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1,9.9,8.004364805
CHEMBL2322165,CCC(CC)COc1ccc(-c2cc(O)nc(N)n2)cc1C#N,10,8
