Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL3669153,,None,298.32,0,3.96,BDBM175229,[C-]#[N+]c1cn(-c2ccc(C(=O)O)c(O)c2)c2cc(C)sc12,IC50,'=',13,nM,7.89,,321180,UO_0000065,26.43,0.51,3.93,11.8,0,CHEMBL3705811,Inhibition Assay: Xanthine oxidase (from bovine milk,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3669154,,None,284.3,0,3.65,BDBM175233,[C-]#[N+]c1cn(-c2ccc(C(=O)O)c(O)c2)c2ccsc12,IC50,'=',10,nM,8,,321181,UO_0000065,28.14,0.55,4.35,11.97,0,CHEMBL3705811,Inhibition Assay: Xanthine oxidase (from bovine milk,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3669155,,None,284.3,0,3.65,BDBM175235,[C-]#[N+]c1cn(-c2ccc(C(=O)O)c(O)c2)c2cscc12,IC50,'=',10,nM,8,,321182,UO_0000065,28.14,0.55,4.35,11.97,0,CHEMBL3705811,Inhibition Assay: Xanthine oxidase (from bovine milk,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3669156,,None,363.19,0,4.41,BDBM175236,[C-]#[N+]c1cn(-c2ccc(C(=O)O)c(O)c2)c2sc(Br)cc12,IC50,'=',14,nM,7.85,,321183,UO_0000065,21.62,0.51,3.44,11.75,0,CHEMBL3705811,Inhibition Assay: Xanthine oxidase (from bovine milk,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3669157,,None,284.3,0,3.65,BDBM175237,[C-]#[N+]c1cn(-c2ccc(C(=O)O)c(O)c2)c2sccc12,IC50,'=',13,nM,7.89,,321184,UO_0000065,27.74,0.54,4.24,11.8,0,CHEMBL3705811,Inhibition Assay: Xanthine oxidase (from bovine milk,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1078761,,None,302.13,0,2.69,41,Brc1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1,IC50,'=',9.9,nM,8,,,UO_0000065,26.49,0.61,5.31,11.88,0,CHEMBL1107564,Inhibition of bovine milk XOR-mediated uric acid formation after 15 mins by spectrophotometer,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL1154315,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,,9.9
CHEMBL3274329,,None,302.96,0,3,20,Brc1nc(-c2cccnc2)[nH]c1Br,IC50,'=',20000,nM,4.7,,,UO_0000065,15.51,0.49,1.7,11.3,0,CHEMBL3281896,Inhibition of bovine xanthine oxidase,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL3271969,1,Scientific Literature,J Med Chem,1977,None,,,,2
CHEMBL3331625,,None,345.22,None,None,9m,C#CCOc1ccc(-c2nc(C)c(C(=O)O)[se]2)cc1C#N,IC50,'=',53.8,nM,7.27,,,UO_0000065,21.06,None,None,None,0,CHEMBL3367443,Inhibition of bovine xanthine oxidase assessed as inhibition of uric acid formation after 30 mins by spectrophotometry,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL3352102,1,Scientific Literature,Eur J Med Chem,2014,None,,,,53.8
CHEMBL4589904,,None,337.3,0,0.73,8h,C#CCOc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1-n1ccnn1,IC50,'=',50,nM,7.3,,,UO_0000065,21.65,0.4,6.57,5.94,0,CHEMBL4407808,Inhibition of bovine milk xanthine oxidase using xanthine as substrate incubated for 15 mins followed by substrate addition and measured at 30 sec interval for 2 mins by spectrophotometrically,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL4406819,1,Scientific Literature,Eur J Med Chem,2019,None,,,,0.05
CHEMBL3797573,,None,680.83,2,2.07,2; Brachyantheraoside D1,C[C@]12CC[C@H](O)[C@](C)(CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]1CC[C@]1(C)[C@@H]2CC=C2[C@@H]3C[C@](C)(C(=O)O)[C@@H](O)C[C@]3(C(=O)O)CC[C@]21C,IC50,'=',49200,nM,4.31,,,UO_0000065,6.33,0.12,2.24,2.01,0,CHEMBL3802944,Inhibition of bovine milk xanthine oxidase using xanthine as substrate preincubated for 15 mins followed by substrate addition by spectrophotometric method,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL3797199,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,,,,49.2
CHEMBL4299614,,None,798.96,3,0.58,3; Brachyantheraoside B4,C[C@H]1O[C@@H](O[C@H]2[C@H](OC[C@]3(C)[C@@H]4CC[C@]5(C)[C@H](CC=C6[C@@H]7C[C@](C)(O)[C@@H](O)C[C@]7(C(=O)O)CC[C@]65C)[C@@]4(C)CC[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,IC50,'=',200,nM,6.7,,,UO_0000065,8.38,0.16,6.12,2.61,0,CHEMBL3802944,Inhibition of bovine milk xanthine oxidase using xanthine as substrate preincubated for 15 mins followed by substrate addition by spectrophotometric method,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL3797199,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,,,,0.2
CHEMBL1818916,,None,354.43,1,5.72,3p,C[N+](=O)C(CC(=O)c1ccccc1)c1c2ccccc2cc2ccccc12,IC50,'=',91600,nM,4.04,,,UO_0000065,11.39,0.2,-1.68,10.87,0,CHEMBL1820933,Inhibition of bovine milk xanthine oxidase assessed as decrease of uric acid formation preincubated for 5 mins by UV-visible spectrophotometric analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL1817586,1,Scientific Literature,Bioorg Med Chem,2011,None,,,,91.6
CHEMBL2338671,,None,347.8,0,2.08,C3,C[N+](C)(C)Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O.[Cl-],IC50,'=',18670,nM,4.73,,,UO_0000065,15.14,0.28,2.65,6.34,0,CHEMBL3124255,Inhibition of bovine xanthine oxidase using xanthine as substrate measured for 6 mins at 25 degC by spectrophotometry,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL3120144,1,Scientific Literature,Eur J Med Chem,2014,None,,,,18.67
CHEMBL4441574,,None,325.32,0,2.27,9e,C=C(C)COc1ccc(-c2nc(C)c(C(=O)O)c(=O)[nH]2)cc1C#N,IC50,'=',567.7,nM,6.25,,,UO_0000065,19.2,0.36,3.98,5.38,0,CHEMBL4368242,Inhibition of bovine xanthine oxidase assessed as reduction in uric acid formation using xanthine as substrate preincubated with enzyme for 15 mins followed by substrate addition and measured every 30 secs for 2 mins by spectrophotometric method,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL4364326,1,Scientific Literature,Eur J Med Chem,2019,None,,,,0.5677
CHEMBL4469027,,None,310.31,0,2.08,10e,C=C(C)COc1ccc(-c2ncc(C(=O)O)c(=N)[nH]2)cc1C#N,IC50,'=',18.1,nM,7.74,,,UO_0000065,24.95,0.46,5.66,6.3,0,CHEMBL4368242,Inhibition of bovine xanthine oxidase assessed as reduction in uric acid formation using xanthine as substrate preincubated with enzyme for 15 mins followed by substrate addition and measured every 30 secs for 2 mins by spectrophotometric method,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL4364326,1,Scientific Literature,Eur J Med Chem,2019,None,,,,0.0181
CHEMBL4557837,,None,311.3,0,1.96,8e,C=C(C)COc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1C#N,IC50,'=',33.6,nM,7.47,,,UO_0000065,24.01,0.44,5.51,6.44,0,CHEMBL4368242,Inhibition of bovine xanthine oxidase assessed as reduction in uric acid formation using xanthine as substrate preincubated with enzyme for 15 mins followed by substrate addition and measured every 30 secs for 2 mins by spectrophotometric method,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL4364326,1,Scientific Literature,Eur J Med Chem,2019,None,,,,0.0336
CHEMBL4464985,,None,353.34,0,1.67,8f,C=C(C)COc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1-n1ccnn1,IC50,'=',56.9,nM,7.25,,,UO_0000065,20.5,0.38,5.57,5.89,0,CHEMBL4407808,Inhibition of bovine milk xanthine oxidase using xanthine as substrate incubated for 15 mins followed by substrate addition and measured at 30 sec interval for 2 mins by spectrophotometrically,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL4406819,1,Scientific Literature,Eur J Med Chem,2019,None,,,,0.0569
CHEMBL4078467,,None,336.34,0,3.96,8b,C=C(C)COc1ccc2c(c1)O/C(=C\c1ccc(C(=O)O)cc1)C2=O,IC50,'=',46,nM,7.34,,,UO_0000065,21.81,0.4,3.38,10.07,0,CHEMBL4036300,Inhibition of bovine milk xanthine-oxidase using xanthine as substrate after 5 mins by spectrophotometric method,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL4033722,1,Scientific Literature,Bioorg Med Chem,2017,None,,,,0.046
CHEMBL3798016,,None,718.92,2,4.08,8,C=C1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,IC50,'=',18500,nM,4.73,,,UO_0000065,6.58,0.13,0.65,2.7,0,CHEMBL3802944,Inhibition of bovine milk xanthine oxidase using xanthine as substrate preincubated for 15 mins followed by substrate addition by spectrophotometric method,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL3797199,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,,,,18.5
CHEMBL3798919,,None,913.06,3,-0.72,9,C=C1CC[C@]2(C(=O)O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,IC50,'=',79600,nM,4.1,,,UO_0000065,4.49,0.09,4.82,1.39,0,CHEMBL3802944,Inhibition of bovine milk xanthine oxidase using xanthine as substrate preincubated for 15 mins followed by substrate addition by spectrophotometric method,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL3797199,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,,,,79.6
CHEMBL3799773,,None,1235.33,None,None,6,C=C1CC[C@]2(C(=O)O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O[C@@H]7O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,IC50,'=',91300,nM,4.04,,,UO_0000065,3.27,None,None,None,0,CHEMBL3802944,Inhibition of bovine milk xanthine oxidase using xanthine as substrate preincubated for 15 mins followed by substrate addition by spectrophotometric method,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL3797199,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,,,,91.3
CHEMBL5532411,,None,293.28,0,3.05,6h,C=CCn1cc(C#N)c2cc(-c3cc(C(=O)O)no3)ccc21,IC50,'=',390,nM,6.41,,,UO_0000065,21.85,0.4,3.36,6.96,0,CHEMBL5502198,Inhibition of bovine xanthine oxidase using xanthine as substrate by measuring uric acid formation measured 30 secs interval for 5 mins by spectrophotometry analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5500369,1,Scientific Literature,Eur J Med Chem,2024,None,TIME = 0.08333 hr,INHIBITOR,,0.39
CHEMBL4285900,,None,351.36,0,3.53,4m,C=CCNC(=O)/C=C/c1ccc(O)c2oc(-c3ccc(O)c(O)c3)cc12,IC50,'=',18160,nM,4.74,,,UO_0000065,13.49,0.25,1.21,4.61,0,CHEMBL4271547,Inhibition of bovine xanthine oxidase using xanthine as substrate preincubated for 3 mins followed by substrate addition and measured for every 15 secs for 7 mins by spectrophotometric analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL4270514,1,Scientific Literature,Eur J Med Chem,2018,None,,,,18.16
CHEMBL4286969,,None,353.37,0,3.45,6b,C=CCNC(=O)CCc1ccc(O)c2oc(-c3ccc(O)c(O)c3)cc12,IC50,'=',46790,nM,4.33,,,UO_0000065,12.25,0.23,0.88,4.21,0,CHEMBL4271547,Inhibition of bovine xanthine oxidase using xanthine as substrate preincubated for 3 mins followed by substrate addition and measured for every 15 secs for 7 mins by spectrophotometric analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL4270514,1,Scientific Literature,Eur J Med Chem,2018,None,,,,46.79
